Image Path,Classification
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0120.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0121.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0122.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0130.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0131.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0132.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0134.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0136.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0138.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0140.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0143.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0144.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0145.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0146.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0149.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140811-PICT0150.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140812-PICT0139.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140812-PICT0140.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140812-PICT0141.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140812-PICT0143.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140812-PICT0144.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140831-PICT0067.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140831-PICT0068.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140831-PICT0069.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0124.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0125.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0128.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0133.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0134.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0135.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0136.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0137.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0138.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0142.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0145.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20140908-PICT0147.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0338.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0339.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0340.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0341.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0342.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0343.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0344.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0345.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0346.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0347.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0348.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0349.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0350.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0352.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0353.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0355.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150126-RCX_0356.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0336.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0337.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0338.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150203-RCX_0340.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150213-PICT0065.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0008.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0010.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0012.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0013.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0015.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0016.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0017.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0018.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0019.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0021.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0022.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0023.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0024.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0025.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0026.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0027.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0028.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0029.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0032.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0033.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0034.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0036.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0038.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0039.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0040.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0041.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0042.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0044.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0046.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0047.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0048.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0049.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0050.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0051.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0058.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0059.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0061.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0062.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0064.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0065.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0066.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0067.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0068.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0069.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0071.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0075.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0076.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0077.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0078.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0081.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0083.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0086.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0088.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0092.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0095.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0099.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0101.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0104.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150622-PICT0105.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0107.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0108.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0109.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0112.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0113.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0115.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0117.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0118.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0119.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0120.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0121.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0122.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0123.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0124.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0126.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0127.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0130.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0133.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0134.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0135.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150623-PICT0136.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20150830-PICT0034.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0009.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0020.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0023.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0024.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0025.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0026.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0027.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0031.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0033.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0034.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0035.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0037.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0040.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0042.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0043.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0045.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0046.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0048.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0049.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0050.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0052.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0053.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0055.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0056.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0058.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0059.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0060.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0061.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0062.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0063.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_20170218-PICT0064.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_DSC_0319.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_IM000278.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_IM000279.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_IM000280.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_IM000281.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_IM000282.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_IM000283.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_MDGC0025.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_MDGC0027.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_MDGC0085.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_MDGC0086.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_MDGC0087.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0010.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0011.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0012.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0016-2.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0016.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0017.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0018-3.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0018.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0022.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0023.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0024.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0027.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0028.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0029.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0030.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0032.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0033.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0035.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0036.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0049.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0050.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0055-2.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0056.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0057.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0058-2.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0059-2.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0059.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0060-2.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0064.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0065-2.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0065.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0066.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0067.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0070.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0102.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0103.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0104.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0105.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0108.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0109.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0110.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0111.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0112.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0113.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0115.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0116.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0117.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0118.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0120.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0121.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0122.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0144.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0148.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0151.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0152.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0153.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0155.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0156.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0157.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0158.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0159.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0164.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0166.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0167.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0168.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0173.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0174.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0176.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0177.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0178.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0179.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0180.JPG,Day
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0181.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0182.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0183.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0184.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0185.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0187.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0192.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0193.JPG,Night
balanced_dataset_split\train\acinonyx jubatus\acinonyx jubatus_PICT0194.JPG,Night
