path,category,brightness,contrast,laplacian_var,issue
balanced_dataset\crocuta crocuta\crocuta crocuta_D.  NUMAS.JPG,crocuta crocuta,6.850787760416667,20.95977270022408,1286.4976389153371,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_E. POACHERS (2).JPG,crocuta crocuta,9.983050130208332,21.586089507549897,1614.169655881712,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0094.JPG,crocuta crocuta,21.123537221261053,48.90866215671182,263.5034441913244,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0689.JPG,crocuta crocuta,19.280347402441368,48.82138136949949,238.8926807430103,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0829.JPG,crocuta crocuta,20.190679741565745,48.67751396968416,248.1194915966658,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0830.JPG,crocuta crocuta,20.187708753844674,48.68965000749834,249.0369271734828,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0831.JPG,crocuta crocuta,20.22394594326701,48.68004593795132,250.91381255069516,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0833.JPG,crocuta crocuta,20.24583030465045,48.67118035109848,253.203206851092,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0901.JPG,crocuta crocuta,17.596424126738114,48.81557757314832,229.2674151928175,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0919.JPG,crocuta crocuta,19.603075464765155,48.6846159827457,247.35963944288392,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0937.JPG,crocuta crocuta,18.867322163751123,48.73040903798945,247.155805248934,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0938.JPG,crocuta crocuta,18.983453504461423,48.76144877048902,244.79376652003612,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0939.JPG,crocuta crocuta,19.072756471869795,48.79738141235521,248.18330557887495,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0940.JPG,crocuta crocuta,18.814571018358325,48.75731215056041,239.73119537723105,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0941.JPG,crocuta crocuta,18.84939211080674,48.73105108859856,243.9634898605724,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT0942.JPG,crocuta crocuta,18.868283707988915,48.71923272870208,246.08221454690457,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT1810.JPG,crocuta crocuta,16.598578246147316,48.70464600762468,214.88918834303053,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT1811.JPG,crocuta crocuta,16.59186295535371,48.7090266012811,215.7364116144968,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_PICT1812.JPG,crocuta crocuta,16.589353153434576,48.70216758516534,216.4483904443014,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_Suzis Spring 31 October 2009 036.jpg,crocuta crocuta,13.921191666666669,27.461814543044984,285.853159188307,underexposed
balanced_dataset\crocuta crocuta\crocuta crocuta_Suzis Spring 31 October 2009 194.jpg,crocuta crocuta,19.11384739583333,31.88371939106167,224.82268214841037,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140304-PICT0213.JPG,diceros bicornis,23.73796286284121,49.37985053911022,278.32296312308927,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140305-PICT0216.JPG,diceros bicornis,24.500230530324878,49.564941591853874,275.7404337039693,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140410-PICT0037.JPG,diceros bicornis,20.924906060769896,48.625216788916056,261.6180116214169,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140410-PICT0038.JPG,diceros bicornis,20.988331060569653,48.61585962109869,264.7912694818436,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140527-PICT0245.JPG,diceros bicornis,17.683737925317185,48.60732335448094,232.0282374837746,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140608-PICT0287.JPG,diceros bicornis,17.830664087530437,48.520679678324406,234.4444123654877,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140708-PICT0567.JPG,diceros bicornis,17.89159780793445,48.448720652097,237.9639564029412,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140710-PICT0096.JPG,diceros bicornis,22.18423790829649,48.47308738132025,268.7606046584892,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140716-PICT0645.JPG,diceros bicornis,18.163363399894276,48.4691362060828,236.22739457256264,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140716-PICT0647.JPG,diceros bicornis,18.123614565311417,48.48625953334061,234.9186804377447,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140720-PICT0656.JPG,diceros bicornis,19.77409942990677,49.34327117336139,243.43821945614323,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140722-PICT0665.JPG,diceros bicornis,18.49683177243528,48.6558462276945,236.67168409052093,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140801-PICT0688.JPG,diceros bicornis,18.162400228678077,48.52792237655071,229.419110477946,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140801-PICT0689.JPG,diceros bicornis,18.237345361960145,48.53283179267654,231.25445476782028,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140802-PICT0694.JPG,diceros bicornis,18.965011704232342,48.75634093775123,244.03479679531785,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140814-PICT0748.JPG,diceros bicornis,17.298067700323593,48.43349597154537,222.44996543985408,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140826-PICT0843.JPG,diceros bicornis,16.82694131063373,48.41700333418023,230.5227460189253,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140826-PICT0845.JPG,diceros bicornis,16.899584144319494,48.40948277654771,230.0880633000785,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140907-PICT0146.JPG,diceros bicornis,21.07362189922946,48.54813095260198,260.2247854627666,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140930-PICT1074.JPG,diceros bicornis,17.733946228613995,48.36424186765258,240.00810846474596,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20140930-PICT1077.JPG,diceros bicornis,21.70635830670095,49.06207556899941,265.0011766783259,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141010-PICT1114.JPG,diceros bicornis,17.873270772259065,48.32284590998708,234.04946473912813,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141020-PICT1123.JPG,diceros bicornis,22.61686898768903,49.38055714132197,265.2911530438383,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141020-PICT1128.JPG,diceros bicornis,21.459866197295916,49.112331153787565,256.16021845785247,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141020-PICT1144.JPG,diceros bicornis,20.225650390875305,49.14776606423711,241.6608425173385,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141020-PICT1151.JPG,diceros bicornis,19.86033641908561,49.20300120329544,236.90150221061015,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141020-PICT1157.JPG,diceros bicornis,20.53421610678585,49.13122923556945,246.04503178890684,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141020-PICT1163.JPG,diceros bicornis,20.008952386101495,49.13853293731945,247.94636997284445,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141026-PICT1336.JPG,diceros bicornis,21.339889180243176,49.067467990602346,259.2743872502592,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141029-PICT1214.JPG,diceros bicornis,17.827444547569844,48.26326840755605,237.33201731437248,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141029-PICT1480.JPG,diceros bicornis,21.19853904848296,49.25458855708605,254.3891319153305,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20141029-PICT1485.JPG,diceros bicornis,19.84295828727733,49.26739698318418,245.30889824068325,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20150117-PICT0024.JPG,diceros bicornis,24.99890516868512,48.48867345804096,282.3304515294866,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20150205-RCX_0617.JPG,diceros bicornis,16.569458211184802,17.340267572528333,229.07254071176877,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20150205-RCX_0620.JPG,diceros bicornis,19.45950250504613,20.634135595904585,236.9075482503622,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20150610-PICT0176.JPG,diceros bicornis,24.979047396634307,48.36852312151427,293.36656413305,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_20151105-PICT0060.JPG,diceros bicornis,24.58251959382609,48.36753382677686,290.4048658772485,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0018.JPG,diceros bicornis,21.96285921180155,49.32225459748695,259.11160742550607,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0043-2.JPG,diceros bicornis,24.514138692650263,49.169848585658016,285.0315744259135,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0067.JPG,diceros bicornis,19.953650013416315,48.43878043730674,254.9871961177779,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0124.JPG,diceros bicornis,21.00699025014417,48.588488988346,259.26715796140513,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0169.JPG,diceros bicornis,18.810848491765988,48.649884825107534,236.9252791248372,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0170.JPG,diceros bicornis,23.1818608928457,48.85465942542164,281.8073335456077,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0178.JPG,diceros bicornis,20.176362533658487,53.4898558189315,459.1001579919321,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0179.JPG,diceros bicornis,20.280473433610226,53.47925498194363,463.5419190094708,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0200.JPG,diceros bicornis,19.789870819679415,53.61489795016596,432.32022928443456,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0203.JPG,diceros bicornis,19.50379332736372,53.50920736771224,439.8662468219602,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0232.JPG,diceros bicornis,19.483455742264898,53.49371530393542,444.2775250509652,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0234.JPG,diceros bicornis,19.46514044480008,53.46376776414076,447.2193196778554,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0248.JPG,diceros bicornis,19.329466774945384,53.497562716905385,428.2206632532772,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0279.JPG,diceros bicornis,19.700075667011085,48.63322475544079,249.165214285792,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0420.JPG,diceros bicornis,16.570274954344484,48.60548668960196,227.48165127384576,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0433.JPG,diceros bicornis,18.55320081719371,48.74329415031232,240.36465010222247,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0435.JPG,diceros bicornis,18.59021207288062,48.7600792790664,240.35882095187,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0449.JPG,diceros bicornis,19.19316238546072,48.850183655158766,241.4261762138219,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0464.JPG,diceros bicornis,18.3527325477781,48.74443039337852,233.36498364475665,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0475.JPG,diceros bicornis,20.67074425000801,48.26279875232942,261.12858359106656,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0477.JPG,diceros bicornis,21.205375236287324,48.38418530405585,262.7753328101167,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0502.JPG,diceros bicornis,21.20211941300869,53.678217078209855,471.7175607003945,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0503.JPG,diceros bicornis,23.683924381128385,54.30925275809392,519.1765686715199,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0529.JPG,diceros bicornis,19.76615389073058,53.46791990182705,442.6946799372969,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0531.JPG,diceros bicornis,19.56324640076462,53.481774023930576,434.772244414971,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0617.JPG,diceros bicornis,21.92102440875375,53.4209755566621,510.6490160953608,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0661.JPG,diceros bicornis,21.61427770792054,53.49088794343207,502.4782844134914,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0678.JPG,diceros bicornis,19.257879706723376,48.80857310603884,241.07985647904653,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0712.JPG,diceros bicornis,20.87290626746431,53.41504666780084,472.5042743145638,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0720.JPG,diceros bicornis,21.00209809861301,53.43798971670732,483.6363989677082,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0736.JPG,diceros bicornis,20.59234253543667,53.41285845638972,475.6175557030711,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0759.JPG,diceros bicornis,20.170089472831886,53.54359268458142,459.0561746169098,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0764.JPG,diceros bicornis,20.33931466081136,53.51864319231404,458.0873324008346,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0765.JPG,diceros bicornis,20.346204727747292,53.51403759012879,460.5924702345234,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0775.JPG,diceros bicornis,21.01429354487375,53.481799834988514,475.0929997814209,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0776.JPG,diceros bicornis,22.138574928237567,53.574599278482985,510.5573768691269,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0976.JPG,diceros bicornis,16.915422779099384,48.73421353553314,226.08670215996517,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT0984.JPG,diceros bicornis,20.458619112940102,53.4927667860187,467.92551847909215,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1155.JPG,diceros bicornis,20.268561782375656,53.45704791275673,467.66945131364986,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1284.JPG,diceros bicornis,20.177498507595388,53.47529395943636,458.4288593748467,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1358.JPG,diceros bicornis,21.11904209057308,53.485741123915886,490.825071723128,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1472.JPG,diceros bicornis,21.66045623978758,47.96513112019403,270.99645464309424,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1473.JPG,diceros bicornis,21.702378216911764,47.97263471770109,271.2995158647638,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1495.JPG,diceros bicornis,21.054865119963928,53.56132337050983,479.3166267813455,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1497.JPG,diceros bicornis,20.56721556196972,53.51608631470062,464.6151469353958,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1499.JPG,diceros bicornis,21.93079549135041,53.64115821849247,505.4051032583607,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1501.JPG,diceros bicornis,22.70482181641518,53.733245657187965,522.9958210069452,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1508.JPG,diceros bicornis,20.50519821197226,53.52864878645197,459.95309978702056,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1513.JPG,diceros bicornis,20.490674654206675,53.47792285001524,467.663657963719,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1548.JPG,diceros bicornis,21.72980411395621,53.59536520169414,503.8936432929581,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1549.JPG,diceros bicornis,21.52834060483666,53.51103825752678,500.9426913817044,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1550.JPG,diceros bicornis,21.10529192386831,53.43169778773831,488.0758949729347,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1596.JPG,diceros bicornis,17.256499778730937,48.74774476185435,216.3994376098914,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1597.JPG,diceros bicornis,20.85623241661586,53.4276420441339,476.3248964350472,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1608.JPG,diceros bicornis,21.176179952243054,53.34231970728861,490.0124691160919,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1610.JPG,diceros bicornis,21.15546787678453,53.32146458424448,493.8435488643197,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1635.JPG,diceros bicornis,21.34436601381903,53.35843502768018,488.0480848497966,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1638.JPG,diceros bicornis,21.55947569761977,53.25053883380489,510.001382994562,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1639.JPG,diceros bicornis,21.702941823210384,53.27190474855047,510.2668250137064,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1674.JPG,diceros bicornis,21.545071810064524,53.22869575411628,504.85555756116673,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1762.JPG,diceros bicornis,17.547088634779893,48.83218286304529,225.45497274344632,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1806.JPG,diceros bicornis,20.768520900015243,53.38167086666103,475.1993928643153,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1807.JPG,diceros bicornis,17.33669429526304,48.57806842767955,230.3632020375963,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1871.JPG,diceros bicornis,17.659142642453222,48.76054086837733,229.577426463512,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1891.JPG,diceros bicornis,17.798837386261695,48.67202481627026,234.5620961178954,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1902.JPG,diceros bicornis,19.57429555326932,53.37969374488939,448.21619276131486,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1915.JPG,diceros bicornis,19.964141605382817,53.537292959043306,446.3431277490739,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1918.JPG,diceros bicornis,19.547563649469087,53.52457107476035,425.9974847896567,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1952.JPG,diceros bicornis,18.18205625540657,48.81292812639411,232.3840206936123,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1953.JPG,diceros bicornis,18.34225105227957,48.80946519141885,233.8393395056098,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1956.JPG,diceros bicornis,20.67695155718132,53.52155039048007,467.14741773318514,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1957.JPG,diceros bicornis,21.0020068079053,53.52931296415757,479.44452558085806,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1977.JPG,diceros bicornis,17.76210534509964,48.73348913097821,230.1628853208444,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1978.JPG,diceros bicornis,17.564065278378507,48.74982224897733,227.4029277081136,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT1979.JPG,diceros bicornis,17.555544667315456,48.735020941281874,229.53997583942328,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2018.JPG,diceros bicornis,20.64564197564238,49.733685650433,238.8311443807133,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2044.JPG,diceros bicornis,18.733721830746187,49.16202779313142,230.58178947743588,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2046.JPG,diceros bicornis,22.93927966407151,49.904062707773925,254.4161841463006,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2097.JPG,diceros bicornis,20.330748690407532,49.25866230375204,250.21011736969956,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2109.JPG,diceros bicornis,19.409003598375623,48.96233922352029,242.8855377211881,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2115.JPG,diceros bicornis,19.49362099312764,49.09107890325554,238.20675574491372,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2160.JPG,diceros bicornis,19.977176727696488,53.47671199183555,457.1640224074887,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2161.JPG,diceros bicornis,20.037682224190927,53.429201900043246,464.0610728847171,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2206.JPG,diceros bicornis,18.05618206739395,49.10482505637911,228.11682627141985,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2207.JPG,diceros bicornis,18.07399698032808,49.08973146203749,230.26798650431164,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2236.JPG,diceros bicornis,18.885729421977125,48.93375818562771,245.2969342353416,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2237.JPG,diceros bicornis,19.057870745826925,48.92795546599823,244.81167836261903,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2240.JPG,diceros bicornis,18.728106877963604,48.94539813766616,239.7713835340098,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2255.JPG,diceros bicornis,18.84086799548251,49.041820381444175,243.4507546835133,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2258.JPG,diceros bicornis,18.980198671584645,49.03859108158738,239.2520023274433,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2270.JPG,diceros bicornis,18.672151336024605,49.12320469207879,234.7112270780029,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2275.JPG,diceros bicornis,19.057911044830515,48.99919200075766,244.06448997900625,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2277.JPG,diceros bicornis,19.659123619321093,49.0656535471263,249.5158536003103,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2278.JPG,diceros bicornis,23.90077208886005,50.8344704497043,258.0507836659543,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2324.JPG,diceros bicornis,18.797687112528838,49.05799451998488,239.27311808431432,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2449.JPG,diceros bicornis,20.040000640779187,48.85380491433603,253.96681326932256,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2495.JPG,diceros bicornis,18.8996912745899,49.11353175470618,236.68269289313895,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2503.JPG,diceros bicornis,18.75675959466712,49.01198251481837,237.13686312468,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2514.JPG,diceros bicornis,24.11003117290625,50.05098758255669,268.83493241377005,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2520.JPG,diceros bicornis,19.048062819388377,49.14087466186815,237.90890046813905,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2522.JPG,diceros bicornis,19.00775830910387,48.97293841779065,237.8536904372326,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2559.JPG,diceros bicornis,19.065261983572025,49.02598334436286,236.2420199248028,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2614.JPG,diceros bicornis,18.626274675004804,49.0047022282347,236.4287042186808,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2615.JPG,diceros bicornis,18.82786017797642,48.99389486633089,239.57365066425143,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2650.JPG,diceros bicornis,18.937742920391194,48.986359155568,236.18527084423505,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2654.JPG,diceros bicornis,19.40883326625176,48.95326976454163,245.65179276842747,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2655.JPG,diceros bicornis,19.36381827802608,48.96074967850189,247.3353990567902,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2705.JPG,diceros bicornis,19.224007893598618,48.815622113993086,235.4211026302115,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2765.JPG,diceros bicornis,18.244494179922786,48.64477901711001,237.9633337829632,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2769.JPG,diceros bicornis,18.23892640951397,48.7288773208444,234.65758499214692,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2844.JPG,diceros bicornis,17.69838598736063,48.80327885809856,222.19464264775195,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2846.JPG,diceros bicornis,17.716648069051967,48.70604139176143,232.5467869415237,underexposed
balanced_dataset\diceros bicornis\diceros bicornis_PICT2852.JPG,diceros bicornis,17.637381555972063,48.74848906761233,228.44193152024852,underexposed
